Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Mileage,Engine,Power,Seats
Hyundai Swift,2015,2.59,20.76,108235,CNG,Individual,Manual,First,22.0,998,124.9,5
Ford City,2020,7.28,16.09,44023,Petrol,Individual,Manual,Second,16.5,2993,190.0,7
Maruti Kwid,2016,3.31,16.39,84364,Petrol,Individual,Manual,First,21.9,1498,110.6,7
Maruti Swift,2009,0.5,3.49,60486,Petrol,Individual,Manual,First,22.8,1199,65.5,7
Volkswagen Innova,2007,3.37,18.66,47915,Petrol,Individual,Manual,First,19.9,799,122.1,5
Toyota City,2005,2.81,20.95,45721,Petrol,Dealer,Manual,Third,27.7,799,159.6,4
Maruti Nexon,2015,0.79,4.52,64252,Petrol,Individual,Manual,First,17.4,2184,53.0,5
Maruti Polo,2020,12.82,19.67,20052,Petrol,Individual,Manual,First,18.5,998,66.6,5
Ford Swift,2005,1.32,4.29,6894,Petrol,Dealer,Automatic,First,20.9,799,105.0,5
Volkswagen i20,2011,1.83,8.48,38038,Petrol,Individual,Manual,First,21.4,1498,50.7,5
Hyundai EcoSport,2009,0.61,5.24,88029,Petrol,Individual,Manual,First,18.6,1498,152.6,5
Hyundai Nexon,2008,2.3,12.08,54063,Petrol,Dealer,Manual,First,19.6,1197,52.1,5
Hyundai Kwid,2011,0.67,4.38,19026,Petrol,Individual,Manual,Second,20.2,799,109.7,4
Honda Magnite,2014,1.36,4.64,76934,Petrol,Individual,Automatic,First,20.3,2184,142.7,5
Maruti Kwid,2017,8.06,20.34,13328,Petrol,Dealer,Manual,First,24.2,1197,100.7,5
Maruti Magnite,2007,1.79,11.71,121566,Petrol,Dealer,Manual,First,13.7,2179,154.4,5
Hyundai EcoSport,2020,5.17,18.49,127772,Diesel,Individual,Automatic,Second,24.8,2184,167.9,5
Hyundai Kwid,2015,2.39,6.6,23895,Petrol,Individual,Automatic,Second,12.5,1598,64.7,5
Nissan Innova,2013,3.68,13.77,20487,Petrol,Dealer,Manual,First,14.5,1997,69.9,5
Ford Polo,2013,2.73,20.38,11869,Petrol,Individual,Manual,Second,20.6,998,108.2,5
Maruti City,2011,2.66,12.32,25044,Petrol,Individual,Automatic,First,19.9,2179,120.6,8
Maruti Innova,2010,1.99,10.87,31844,Diesel,Individual,Manual,Third,21.3,2184,103.5,6
Tata EcoSport,2016,2.69,11.36,92235,Electric,Dealer,Manual,First,12.8,1997,135.6,6
Maruti Magnite,2019,4.47,12.22,17771,Petrol,Individual,Manual,Third,12.5,1498,138.2,4
Tata XUV300,2018,2.07,7.22,63595,Petrol,Individual,Manual,First,15.3,2179,131.4,5
Nissan Swift,2020,3.08,9.13,93919,Diesel,Individual,Automatic,Third,23.8,2184,107.3,8
Maruti Nexon,2017,4.67,22.83,141885,Diesel,Individual,Manual,First,20.3,1197,52.3,5
Maruti XUV300,2005,1.86,20.2,40814,LPG,Dealer,Manual,Third,26.9,2993,164.9,4
Hyundai Magnite,2016,0.64,4.9,126831,Diesel,Individual,Automatic,First,17.3,1997,133.3,5
Maruti Polo,2020,10.88,24.39,71320,Diesel,Individual,Manual,First,22.4,1997,178.6,4
Maruti Kwid,2007,3.21,13.06,15564,Petrol,Individual,Automatic,Second,13.7,2184,53.4,5
Honda Nexon,2019,1.97,3.4,13484,Petrol,Dealer,Manual,Third,19.5,799,137.9,5
Volkswagen XUV300,2011,2.49,10.38,30651,Diesel,Individual,Manual,Fourth & Above,27.4,2993,147.2,5
Maruti Innova,2013,0.57,6.75,87238,LPG,Individual,Automatic,First,13.3,1199,185.0,5
Maruti Kwid,2008,1.21,7.37,43893,Diesel,Dealer,Manual,First,17.5,1199,82.4,5
Maruti Swift,2006,2.58,19.78,72396,Petrol,Dealer,Manual,Second,21.6,2993,51.3,7
Maruti Swift,2005,1.8,17.42,125601,Petrol,Individual,Automatic,Third,19.8,1498,153.1,5
Hyundai EcoSport,2005,2.45,15.58,95045,Petrol,Individual,Automatic,First,22.3,799,176.7,5
Nissan i20,2006,4.47,20.59,14304,Diesel,Dealer,Manual,Second,15.5,799,131.4,8
Renault Magnite,2017,3.14,12.2,92052,Diesel,Individual,Manual,Third,21.4,2184,82.1,5
Hyundai i20,2006,0.86,12.7,123915,Petrol,Dealer,Manual,Third,18.9,1498,51.2,7
Maruti Magnite,2014,3.89,14.27,22718,Petrol,Dealer,Manual,First,23.4,1197,71.6,4
Volkswagen Swift,2008,3.63,17.27,9646,Petrol,Individual,Manual,First,12.2,2184,50.9,5
Maruti Polo,2010,0.5,8.22,118828,CNG,Individual,Manual,First,22.2,998,149.6,5
Mahindra XUV300,2011,2.8,14.56,76643,Diesel,Individual,Manual,Second,15.5,799,191.4,6
Maruti Magnite,2015,2.07,6.87,32209,Petrol,Individual,Manual,Fourth & Above,18.3,2179,68.1,5
Maruti City,2018,6.12,12.5,20932,Petrol,Individual,Manual,First,14.0,1197,141.5,5
Renault Magnite,2007,0.56,8.07,84782,Petrol,Individual,Manual,Third,14.6,1498,60.5,4
Maruti Kwid,2021,13.93,22.97,11630,Petrol,Dealer,Manual,Second,17.4,1396,84.6,6
Tata Magnite,2017,6.08,12.59,22198,Petrol,Individual,Automatic,First,22.7,1396,194.7,5
Honda Innova,2020,0.71,3.51,127323,Petrol,Dealer,Manual,Second,16.1,1598,198.8,5
Ford XUV300,2006,1.66,5.7,33460,Diesel,Dealer,Manual,Second,16.7,1199,137.9,5
Honda City,2011,1.24,4.85,31325,Petrol,Individual,Automatic,First,18.7,1498,176.3,5
Maruti i20,2017,1.11,3.92,76158,Petrol,Individual,Automatic,First,16.8,1199,86.3,7
Maruti i20,2009,2.13,23.53,143001,Electric,Individual,Manual,First,19.9,799,153.5,5
Maruti Kwid,2011,0.94,8.25,107261,Diesel,Individual,Automatic,First,19.2,1598,145.6,6
Maruti i20,2009,3.01,23.17,75202,Petrol,Individual,Automatic,First,25.1,2184,190.8,7
Maruti Polo,2016,3.44,12.43,97479,Petrol,Individual,Automatic,First,12.2,2179,125.4,4
Renault EcoSport,2016,1.18,11.03,115205,Diesel,Individual,Manual,Second,22.2,1997,66.7,5
Maruti Polo,2014,0.94,3.43,9861,Petrol,Individual,Automatic,First,21.1,2179,55.7,5
Volkswagen Polo,2015,2.83,16.08,149013,Petrol,Dealer,Automatic,First,15.6,998,66.1,5
Maruti XUV300,2012,1.02,11.06,91478,LPG,Dealer,Manual,Second,16.3,1197,167.2,7
Maruti Innova,2005,0.69,9.04,113886,Petrol,Individual,Manual,First,22.3,1396,82.1,5
Honda Magnite,2021,7.74,16.02,60030,Petrol,Individual,Manual,Second,21.7,1498,61.9,5
Honda Innova,2017,4.71,17.16,80948,Diesel,Individual,Manual,First,12.2,1197,191.4,6
Maruti Innova,2020,1.85,5.12,117468,Diesel,Dealer,Manual,First,12.7,799,115.4,5
Maruti Swift,2013,1.79,13.96,37470,Diesel,Individual,Manual,Second,26.6,2993,165.6,5
Toyota City,2008,1.5,9.72,71266,Petrol,Individual,Manual,Fourth & Above,18.8,998,92.2,5
Honda Innova,2014,1.46,18.83,139607,Diesel,Individual,Manual,Fourth & Above,14.2,1396,196.4,5
Hyundai Innova,2006,5.18,23.41,41534,Petrol,Individual,Automatic,First,17.7,1498,156.7,5
Honda EcoSport,2020,5.44,14.1,104468,CNG,Dealer,Automatic,First,20.2,2993,127.6,5
Ford Swift,2017,5.21,10.44,17204,Petrol,Individual,Manual,First,18.4,1396,170.4,4
Hyundai i20,2014,2.81,18.45,59740,Diesel,Dealer,Manual,Third,18.1,1997,128.4,5
Hyundai XUV300,2021,16.67,20.59,10445,Petrol,Individual,Automatic,First,20.6,1197,56.3,5
Honda City,2012,1.2,15.11,143542,Diesel,Individual,Manual,Third,18.3,2993,112.4,5
Maruti EcoSport,2018,5.24,8.91,7459,Diesel,Individual,Manual,First,21.9,2184,79.8,8
Hyundai XUV300,2010,1.12,12.04,130534,Petrol,Dealer,Automatic,Second,15.0,998,70.2,5
Renault EcoSport,2021,3.46,8.28,53581,Diesel,Individual,Manual,Fourth & Above,25.1,799,130.2,5
Maruti Innova,2011,1.58,12.65,90015,Petrol,Dealer,Manual,First,15.7,1197,190.2,4
Toyota Kwid,2017,1.14,3.0,15060,Electric,Individual,Manual,First,25.5,2179,175.6,4
Ford Innova,2020,8.33,17.93,25448,Petrol,Individual,Manual,Third,20.2,799,61.4,5
Honda EcoSport,2014,3.38,23.72,120042,Diesel,Individual,Manual,First,16.0,1498,69.1,4
Honda Swift,2017,1.73,8.86,106131,Petrol,Individual,Manual,First,13.6,1199,189.2,5
Maruti EcoSport,2016,2.52,10.36,121770,Petrol,Dealer,Manual,First,15.0,1396,79.9,5
Maruti Nexon,2019,4.85,9.69,11574,Diesel,Individual,Manual,Fourth & Above,16.2,1199,118.1,5
Volkswagen City,2015,3.31,15.46,94407,Petrol,Dealer,Manual,Second,15.6,1396,171.6,8
Honda Swift,2019,11.88,24.93,78551,Petrol,Individual,Automatic,First,25.5,1199,146.6,5
Volkswagen i20,2005,0.86,15.43,140669,CNG,Individual,Automatic,Third,13.6,1199,168.7,5
Maruti XUV300,2009,0.62,6.95,148641,Petrol,Individual,Manual,First,17.6,2993,133.3,7
Volkswagen XUV300,2017,10.91,18.96,27161,Diesel,Individual,Automatic,First,13.2,1498,176.5,5
Mahindra Swift,2015,3.43,14.66,33287,Petrol,Dealer,Manual,Fourth & Above,17.0,2993,151.1,5
Maruti Innova,2005,1.37,10.14,103447,Petrol,Individual,Manual,Second,16.7,1396,168.2,6
Maruti XUV300,2021,5.26,7.15,44846,Diesel,Individual,Manual,First,20.1,998,170.8,6
Maruti XUV300,2017,9.22,20.12,32690,Diesel,Individual,Manual,First,14.9,2179,136.7,5
Hyundai Innova,2011,4.04,23.07,26996,Petrol,Individual,Automatic,Fourth & Above,15.8,2993,145.1,5
Maruti Nexon,2020,4.81,11.71,108170,Diesel,Dealer,Manual,First,15.7,1396,58.1,5
Maruti Polo,2021,0.5,4.3,125454,Petrol,Dealer,Manual,First,20.4,1598,188.7,5
Renault EcoSport,2020,7.83,12.51,62732,Diesel,Dealer,Automatic,First,16.8,1498,158.8,5
Maruti Polo,2006,2.45,18.71,81054,LPG,Dealer,Manual,First,14.2,1199,168.9,7
Hyundai Magnite,2021,6.89,24.78,133404,Petrol,Individual,Manual,First,23.4,1199,92.4,6
Maruti EcoSport,2012,0.61,5.66,7016,Petrol,Individual,Automatic,Fourth & Above,26.1,2179,106.0,5
Maruti City,2019,1.04,3.12,129724,Petrol,Individual,Manual,First,14.9,2993,135.8,5
Maruti Nexon,2012,2.9,14.37,93815,Electric,Individual,Automatic,First,12.4,799,93.2,5
Maruti Swift,2021,5.6,7.81,62865,Diesel,Dealer,Manual,First,19.9,1598,174.8,5
Hyundai i20,2009,1.1,10.86,122718,LPG,Dealer,Manual,First,12.3,2993,145.1,6
Maruti Nexon,2016,1.05,6.51,111683,Petrol,Dealer,Manual,First,27.3,799,191.9,6
Honda i20,2009,5.7,21.19,16881,Diesel,Individual,Automatic,First,23.1,1396,149.2,6
Tata Swift,2019,2.83,11.85,109512,Petrol,Dealer,Manual,Second,23.9,2184,73.5,8
Hyundai City,2013,1.25,3.31,14745,Petrol,Dealer,Manual,First,24.3,2184,116.9,5
Maruti Magnite,2014,2.91,8.32,19988,CNG,Individual,Automatic,First,19.8,2179,166.1,6
Hyundai Magnite,2011,2.48,19.22,30968,Petrol,Individual,Manual,Fourth & Above,25.6,1396,153.2,7
Hyundai City,2020,7.26,23.19,132874,Diesel,Individual,Manual,First,27.9,1997,73.7,5
Maruti Nexon,2014,2.18,7.38,57482,CNG,Individual,Automatic,Second,15.1,1997,98.2,5
Volkswagen Swift,2011,1.59,10.0,33000,Petrol,Dealer,Manual,First,21.0,2184,185.3,7
Renault Polo,2013,0.53,8.61,137994,Petrol,Dealer,Automatic,First,15.5,1498,167.4,5
Maruti EcoSport,2008,2.32,15.76,113957,Diesel,Individual,Manual,Second,13.2,1199,53.1,8
Hyundai City,2005,1.98,21.38,112042,Petrol,Dealer,Automatic,First,20.8,1997,128.4,5
Maruti Innova,2015,3.41,23.06,115733,Petrol,Dealer,Manual,First,20.9,998,82.7,5
Hyundai Magnite,2017,4.86,13.54,42170,Petrol,Dealer,Automatic,Second,19.4,998,166.9,5
Honda Magnite,2010,0.5,5.88,55955,Petrol,Individual,Manual,Second,18.9,1598,126.5,5
Hyundai XUV300,2010,0.5,3.73,92211,Petrol,Individual,Manual,First,22.7,2179,189.9,5
Ford Innova,2010,0.83,8.93,26309,Electric,Dealer,Manual,Third,14.4,1598,192.1,7
Maruti Nexon,2010,3.69,19.62,21738,Petrol,Individual,Manual,First,22.9,1598,119.7,5
Hyundai Magnite,2017,1.69,4.15,107449,Diesel,Dealer,Manual,First,12.3,2179,164.4,5
Maruti Kwid,2010,2.67,22.12,71555,Diesel,Individual,Automatic,Second,15.2,1199,120.0,5
Maruti Innova,2015,1.96,8.71,27007,Diesel,Dealer,Automatic,Fourth & Above,23.1,2179,119.1,5
Hyundai Magnite,2020,13.92,24.88,29220,Diesel,Individual,Manual,Second,22.6,1997,87.4,6
Maruti Swift,2020,3.07,8.39,109533,Petrol,Individual,Automatic,First,25.2,799,172.3,4
Honda Kwid,2011,3.92,22.89,49788,Diesel,Individual,Automatic,Third,19.7,1598,73.2,6
Volkswagen Nexon,2013,3.4,17.16,45484,Petrol,Individual,Manual,First,20.3,1197,137.0,5
Maruti Nexon,2015,2.86,18.85,111960,Diesel,Individual,Automatic,First,23.4,2184,91.8,5
Maruti XUV300,2020,12.86,20.47,41744,Petrol,Individual,Automatic,First,19.6,1396,189.5,5
Nissan Kwid,2020,4.2,15.76,147303,Petrol,Individual,Manual,Second,19.2,998,89.6,7
Maruti EcoSport,2021,7.06,16.31,73860,Diesel,Dealer,Manual,Second,23.0,1199,173.5,5
Maruti Nexon,2019,4.59,20.31,111968,Diesel,Individual,Automatic,Third,12.9,1997,175.6,4
Maruti i20,2006,3.14,15.52,28645,Diesel,Dealer,Manual,First,17.6,2184,158.5,6
Volkswagen City,2017,5.72,20.31,61965,Diesel,Dealer,Manual,Second,21.6,998,162.4,5
Hyundai EcoSport,2008,1.65,15.75,145710,Petrol,Individual,Automatic,First,17.2,1598,117.6,5
Hyundai Polo,2021,7.57,21.87,121196,Petrol,Individual,Automatic,First,26.6,2993,121.5,7
Ford Kwid,2015,4.77,18.48,50520,CNG,Dealer,Manual,First,12.1,1498,114.4,8
Honda XUV300,2011,3.59,23.0,34583,CNG,Individual,Manual,Second,12.1,799,196.3,5
Ford XUV300,2010,2.3,23.28,105459,Petrol,Dealer,Manual,First,13.9,1197,53.8,5
Mahindra Innova,2009,2.46,13.25,38043,Petrol,Individual,Manual,Second,20.4,799,130.5,6
Toyota Polo,2017,5.65,19.34,73578,Diesel,Individual,Automatic,Second,16.9,1498,69.4,5
Honda Nexon,2007,1.35,8.7,50313,Diesel,Individual,Manual,First,12.5,1498,157.4,5
Maruti Innova,2016,4.0,21.63,138997,LPG,Individual,Manual,First,16.3,998,195.8,5
Nissan Kwid,2019,6.34,8.75,6128,Diesel,Individual,Manual,First,16.6,2993,143.8,5
Mahindra EcoSport,2012,0.94,3.23,81289,Petrol,Individual,Automatic,First,25.1,1997,175.6,4
Honda Nexon,2013,1.49,12.68,68528,Petrol,Dealer,Manual,Second,21.1,1997,96.1,5
Mahindra i20,2008,2.62,13.57,15534,Petrol,Dealer,Manual,Second,18.7,1498,84.8,7
Tata Innova,2011,4.86,21.22,20954,Petrol,Individual,Manual,First,17.5,1997,118.6,5
Maruti City,2019,8.39,19.78,59649,Petrol,Individual,Manual,First,20.6,799,106.4,5
Hyundai City,2019,6.22,22.24,125926,Petrol,Dealer,Manual,First,22.9,1199,84.0,7
Maruti City,2015,2.19,6.79,55547,Diesel,Individual,Automatic,Second,22.3,1997,121.7,5
Tata XUV300,2011,4.04,15.55,22878,Diesel,Individual,Manual,Second,16.7,2184,158.8,8
Volkswagen Swift,2016,3.1,11.35,99791,Diesel,Individual,Automatic,First,24.4,998,112.9,4
Hyundai Magnite,2016,3.72,10.4,26662,Petrol,Individual,Manual,Second,26.9,1396,87.9,4
Maruti XUV300,2018,6.5,22.21,79474,Petrol,Dealer,Manual,Second,26.8,1199,56.3,5
Hyundai Magnite,2016,3.72,12.93,23394,Petrol,Individual,Manual,Third,19.7,1199,57.3,5
Nissan Nexon,2021,6.64,19.47,134240,Diesel,Dealer,Automatic,Second,12.9,1498,182.5,5
Hyundai EcoSport,2007,3.76,20.22,9123,Petrol,Dealer,Automatic,Second,16.5,1498,61.6,6
Mahindra Swift,2012,1.39,14.71,146025,Diesel,Dealer,Automatic,First,24.8,799,168.0,8
Maruti Swift,2019,4.56,15.12,122213,Diesel,Dealer,Manual,First,14.4,2179,87.5,5
Maruti Kwid,2008,3.46,22.91,74918,Petrol,Individual,Manual,First,25.1,2179,60.9,6
Hyundai Polo,2010,5.19,16.94,23909,Diesel,Dealer,Automatic,First,17.3,2184,172.8,5
Hyundai Swift,2010,4.15,14.07,11414,Petrol,Individual,Manual,First,15.9,1197,166.5,6
Toyota Polo,2013,1.33,10.62,103318,Petrol,Dealer,Automatic,Third,26.3,1396,124.6,6
Tata City,2013,1.89,11.8,70687,Diesel,Dealer,Automatic,Second,18.4,799,195.9,5
Maruti Polo,2015,5.98,16.42,21040,Diesel,Individual,Manual,First,27.0,1199,133.1,5
Hyundai Nexon,2010,2.32,13.55,51281,Petrol,Individual,Automatic,First,25.4,998,106.5,5
Mahindra Kwid,2018,2.87,13.38,133909,Diesel,Dealer,Manual,First,25.2,2184,163.9,7
Toyota Kwid,2019,10.77,24.86,92185,Diesel,Dealer,Automatic,First,16.6,1498,105.5,4
Hyundai EcoSport,2018,1.46,3.45,102095,CNG,Dealer,Manual,First,17.8,1598,57.8,5
Toyota City,2021,5.04,10.19,56986,Petrol,Dealer,Manual,Second,24.3,2993,62.4,5
Maruti XUV300,2014,3.95,20.92,40481,Petrol,Dealer,Automatic,Second,23.4,2993,75.0,5
Maruti Swift,2008,0.78,3.58,108912,Petrol,Individual,Manual,First,20.2,1997,88.0,6
Maruti Kwid,2019,4.43,17.23,141772,Diesel,Individual,Automatic,Second,20.5,1498,198.8,4
Tata EcoSport,2010,3.77,19.46,26797,Diesel,Dealer,Manual,Second,17.4,2179,63.5,5
Hyundai Polo,2016,1.72,16.47,102904,Diesel,Individual,Manual,Fourth & Above,25.8,1498,81.7,5
Maruti Nexon,2008,2.85,14.22,113570,Diesel,Dealer,Manual,First,12.1,2184,191.1,5
Nissan Innova,2013,1.36,14.97,125591,Petrol,Dealer,Manual,First,15.6,1997,185.1,8
Nissan Kwid,2006,2.04,15.18,94001,Petrol,Dealer,Manual,Third,19.7,1199,143.9,5
Maruti Polo,2017,6.39,18.4,49763,Petrol,Individual,Manual,First,15.4,2179,149.2,7
Honda Polo,2019,5.09,9.74,39404,Diesel,Individual,Manual,First,26.6,998,75.9,5
Maruti XUV300,2020,2.79,3.52,6286,Diesel,Individual,Manual,First,20.4,1396,95.7,5
Renault Kwid,2008,1.32,8.84,139464,Petrol,Individual,Manual,First,16.7,1498,183.7,6
Nissan EcoSport,2006,2.23,10.97,8657,Diesel,Individual,Manual,Third,18.9,2184,91.2,6
Ford i20,2020,5.19,15.96,123728,Diesel,Dealer,Manual,First,19.4,2179,82.3,5
Maruti XUV300,2011,1.55,12.62,101190,Diesel,Dealer,Manual,First,27.3,1598,71.5,7
Maruti i20,2014,0.5,5.82,131298,Petrol,Individual,Automatic,Fourth & Above,19.6,2179,69.9,4
Maruti Swift,2011,0.74,4.43,53786,Diesel,Individual,Manual,First,20.9,2993,162.5,5
Hyundai Kwid,2008,1.87,15.73,74407,CNG,Dealer,Manual,Fourth & Above,16.3,1997,109.2,5
Hyundai Swift,2008,2.18,15.16,45324,Diesel,Dealer,Automatic,Third,19.7,1997,123.0,5
Ford Magnite,2012,0.5,4.74,95450,Petrol,Individual,Manual,First,16.2,2184,140.9,5
Toyota Swift,2021,8.47,17.22,72156,Diesel,Dealer,Manual,Second,15.6,1197,89.1,5
Maruti City,2020,0.89,3.13,90180,Diesel,Individual,Manual,Fourth & Above,20.0,1197,97.6,5
Toyota Magnite,2018,2.14,8.11,99266,Diesel,Dealer,Automatic,First,25.1,2993,150.7,5
Maruti EcoSport,2021,6.45,17.19,94157,Petrol,Individual,Manual,Second,13.0,1197,105.9,6
Honda EcoSport,2015,3.79,19.67,84637,Petrol,Individual,Manual,First,23.6,1199,150.0,5
Volkswagen Magnite,2010,3.44,14.16,21442,Petrol,Dealer,Automatic,First,13.0,1396,88.3,5
Nissan Nexon,2018,2.99,11.76,120123,Petrol,Individual,Automatic,First,20.8,1498,178.3,5
Hyundai EcoSport,2015,5.77,20.46,54855,Petrol,Dealer,Automatic,First,20.9,1498,192.4,5
Maruti Swift,2014,0.5,4.89,111924,Diesel,Individual,Manual,Second,28.0,1598,92.1,7
Hyundai Polo,2018,5.2,23.51,109946,Petrol,Individual,Manual,First,21.5,1197,58.3,5
Volkswagen Magnite,2017,1.97,5.02,64314,Petrol,Individual,Manual,First,15.5,1197,193.4,6
Volkswagen Innova,2010,3.26,9.6,16094,Petrol,Individual,Manual,First,22.4,1997,94.1,5
Honda i20,2014,2.52,13.89,137145,Diesel,Individual,Automatic,Second,12.2,1199,82.2,6
Tata Innova,2007,0.92,7.6,30727,Petrol,Dealer,Automatic,First,12.4,2184,86.4,5
Nissan Swift,2006,1.86,17.96,126649,Petrol,Individual,Automatic,First,16.2,2179,78.1,4
Tata i20,2017,3.53,14.52,94363,Diesel,Individual,Manual,First,26.6,1498,148.6,5
Hyundai Polo,2015,0.5,8.43,115551,CNG,Dealer,Automatic,Third,17.1,2184,87.9,6
Hyundai XUV300,2008,1.18,5.88,64577,Diesel,Individual,Manual,Second,25.6,1199,139.5,6
Ford City,2019,3.16,14.39,140162,Petrol,Dealer,Manual,First,12.8,2184,146.2,7
Hyundai Polo,2019,8.76,13.26,28798,Petrol,Dealer,Automatic,First,26.3,1598,56.3,7
Hyundai EcoSport,2006,5.24,21.53,11734,Petrol,Individual,Manual,First,12.0,2184,159.2,6
Maruti Innova,2016,2.91,20.06,119362,Diesel,Dealer,Manual,Third,19.4,2179,56.0,5
Hyundai XUV300,2005,0.98,3.51,88420,Petrol,Individual,Manual,First,19.2,799,190.6,5
Maruti Polo,2019,1.73,3.73,90745,Petrol,Dealer,Manual,First,20.8,1396,186.7,5
Maruti Innova,2006,3.11,11.98,61006,Petrol,Individual,Automatic,First,18.1,2179,107.1,5
Maruti Nexon,2012,2.29,18.15,102158,Diesel,Dealer,Manual,First,17.0,1199,138.3,4
Maruti Innova,2018,0.5,4.58,110879,Diesel,Dealer,Automatic,First,24.6,1197,53.6,7
Tata City,2009,2.53,12.32,76979,Diesel,Individual,Manual,Second,19.0,1199,193.5,5
Honda City,2015,2.61,18.89,113421,Diesel,Individual,Manual,First,25.9,2993,98.6,5
Maruti Magnite,2014,2.71,20.29,132813,CNG,Dealer,Automatic,First,22.7,998,74.0,4
Volkswagen Kwid,2020,6.28,16.41,58294,Petrol,Individual,Manual,Third,14.9,1199,150.8,5
Ford XUV300,2010,2.48,14.75,29276,Petrol,Individual,Manual,Second,15.4,2184,134.3,5
Hyundai Polo,2020,4.78,17.13,111734,Petrol,Dealer,Manual,First,18.1,1997,198.5,4
Honda Magnite,2016,3.73,10.74,46091,Diesel,Dealer,Manual,Second,17.2,998,95.3,5
Honda EcoSport,2005,2.29,19.62,125388,CNG,Individual,Manual,First,18.1,1396,77.1,4
Maruti Swift,2021,2.32,4.15,13573,Petrol,Dealer,Manual,Second,26.6,1997,90.7,5
Tata Polo,2019,5.44,11.67,62520,Diesel,Individual,Manual,First,19.4,2993,131.6,5
Honda City,2017,7.71,20.01,36786,LPG,Dealer,Manual,First,27.5,2179,184.6,7
Maruti EcoSport,2005,0.86,11.05,144770,Diesel,Dealer,Manual,First,21.8,1598,87.6,5
Honda Nexon,2019,5.35,19.7,130611,Diesel,Dealer,Automatic,First,12.7,1197,164.8,4
Maruti Innova,2010,4.38,16.94,9383,Petrol,Individual,Manual,First,23.3,1498,185.7,5
Maruti Kwid,2013,1.02,5.9,37309,Petrol,Individual,Manual,First,13.9,1199,94.3,7
Nissan EcoSport,2012,1.81,14.2,121751,Petrol,Dealer,Automatic,Second,22.6,1396,146.0,6
Maruti Swift,2018,3.1,4.5,32426,Petrol,Individual,Automatic,First,20.0,2184,96.9,5
Tata Magnite,2014,2.02,6.74,43805,Diesel,Individual,Manual,First,19.0,2179,76.6,7
Volkswagen Nexon,2019,9.75,20.2,60398,Diesel,Individual,Automatic,First,24.1,1498,162.9,7
Maruti Swift,2021,11.09,23.28,23383,Petrol,Individual,Manual,Third,19.2,1197,120.0,5
Ford i20,2005,1.28,13.59,102507,Diesel,Individual,Automatic,First,21.8,2184,147.9,5
Volkswagen Innova,2019,8.03,19.13,25860,Petrol,Dealer,Manual,Third,18.7,1199,177.1,5
Tata Magnite,2008,0.69,5.19,48085,Petrol,Individual,Manual,Third,18.0,2184,93.6,5
Ford Swift,2018,2.63,12.82,115853,Diesel,Dealer,Manual,Second,12.1,1396,117.3,5
Nissan Swift,2019,7.65,12.38,20791,Diesel,Individual,Manual,First,15.6,1197,145.0,5
Toyota Nexon,2007,3.64,11.65,40249,Petrol,Individual,Manual,First,27.8,1199,104.6,5
Maruti Nexon,2013,0.95,9.14,64486,Petrol,Dealer,Manual,First,25.7,2184,174.5,5
Volkswagen Magnite,2017,5.7,24.74,105965,Diesel,Dealer,Manual,First,13.1,1997,74.8,5
Ford Magnite,2020,0.79,6.01,138451,LPG,Individual,Manual,First,23.2,799,182.7,5
Maruti Polo,2018,9.73,23.88,82734,Diesel,Dealer,Automatic,First,18.4,1197,106.3,5
Toyota i20,2005,2.37,11.09,21829,Petrol,Individual,Manual,Second,27.5,1199,67.9,6
Hyundai City,2014,3.39,22.94,108153,Petrol,Individual,Manual,First,13.6,2184,122.2,5
Renault Polo,2021,4.9,15.46,84030,Diesel,Individual,Manual,Second,21.0,998,100.6,5
Maruti EcoSport,2013,1.09,8.58,80577,Petrol,Dealer,Manual,First,21.5,1598,65.0,6
Maruti Nexon,2007,4.1,22.9,21312,CNG,Individual,Manual,First,20.0,2184,184.2,6
Honda Innova,2018,0.96,3.98,81067,Petrol,Individual,Automatic,First,19.7,1396,180.9,6
Maruti Nexon,2020,2.09,5.84,77392,CNG,Individual,Manual,Second,17.6,1498,69.3,4
Tata Magnite,2009,1.65,20.58,71775,CNG,Dealer,Manual,Second,16.7,799,91.1,4
Hyundai i20,2012,4.01,23.04,43135,Diesel,Dealer,Manual,Second,22.0,2184,110.1,8
Volkswagen XUV300,2015,6.42,22.5,39889,Petrol,Dealer,Manual,First,25.0,2184,107.2,5
Maruti EcoSport,2013,1.49,9.57,85107,Petrol,Individual,Automatic,First,12.7,1498,136.1,6
Toyota Swift,2017,2.61,6.18,9352,Electric,Dealer,Manual,First,13.9,1197,130.1,5
Hyundai Innova,2010,0.5,4.29,83872,Petrol,Individual,Automatic,First,16.6,1997,189.2,5
Maruti City,2015,5.01,24.34,88796,Petrol,Individual,Manual,First,14.4,998,107.3,5
Maruti City,2021,6.81,14.81,80937,Petrol,Dealer,Manual,First,23.1,1396,96.7,5
Tata City,2014,0.5,3.41,141126,Petrol,Individual,Manual,First,14.1,1598,81.3,5
Toyota i20,2017,2.29,9.44,33570,Diesel,Individual,Manual,Fourth & Above,12.6,1396,50.8,4
Maruti Swift,2008,0.7,3.81,73340,Petrol,Dealer,Manual,Second,25.4,1498,191.6,5
Hyundai City,2021,6.94,18.55,110626,Petrol,Dealer,Manual,First,15.8,1197,198.0,5
