Date,State,Unemployment_Rate,Employment_Rate,Labour_Participation_Rate
2019-01-31,Telangana,10.43,89.36,59.37
2019-02-28,Telangana,12.14,83.87,45.86
2019-03-31,Telangana,10.03,87.06,54.96
2019-04-30,Telangana,10.24,85.7,53.13
2019-05-31,Telangana,9.61,85.75,44.49
2019-06-30,Telangana,9.13,89.01,48.64
2019-07-31,Telangana,12.03,83.26,44.81
2019-08-31,Telangana,8.87,90.52,43.95
2019-09-30,Telangana,10.28,88.29,56.32
2019-10-31,Telangana,10.79,84.91,56.93
2019-11-30,Telangana,9.8,86.42,49.21
2019-12-31,Telangana,10.25,85.54,54.57
2020-01-31,Telangana,10.63,88.48,50.9
2020-02-29,Telangana,11.15,83.93,58.75
2020-03-31,Telangana,10.37,85.54,44.27
2020-04-30,Telangana,20.86,74.94,54.66
2020-05-31,Telangana,22.01,76.5,51.3
2020-06-30,Telangana,25.4,70.24,52.73
2020-07-31,Telangana,16.88,83.08,44.93
2020-08-31,Telangana,15.65,79.39,41.98
2020-09-30,Telangana,15.0,82.23,54.66
2020-10-31,Telangana,10.56,86.36,43.76
2020-11-30,Telangana,11.17,86.06,40.1
2020-12-31,Telangana,9.36,86.83,40.71
2021-01-31,Telangana,9.19,86.02,47.36
2021-02-28,Telangana,10.62,87.75,42.98
2021-03-31,Telangana,10.69,84.32,47.37
2021-04-30,Telangana,9.6,88.16,54.44
2021-05-31,Telangana,10.2,87.85,48.25
2021-06-30,Telangana,10.9,85.62,40.06
2021-07-31,Telangana,8.45,87.58,41.86
2021-08-31,Telangana,11.23,85.82,49.62
2021-09-30,Telangana,9.41,87.69,51.23
2021-10-31,Telangana,10.16,87.04,52.07
2021-11-30,Telangana,11.0,87.66,56.5
2021-12-31,Telangana,10.56,86.94,41.54
2022-01-31,Telangana,9.8,86.27,54.15
2022-02-28,Telangana,9.52,86.54,50.35
2022-03-31,Telangana,8.83,89.53,48.68
2022-04-30,Telangana,9.78,89.78,44.41
2022-05-31,Telangana,11.49,83.52,58.66
2022-06-30,Telangana,10.6,86.18,48.42
2022-07-31,Telangana,11.19,88.22,48.2
2022-08-31,Telangana,10.55,85.25,47.68
2022-09-30,Telangana,11.86,87.22,47.24
2022-10-31,Telangana,11.51,86.81,40.52
2022-11-30,Telangana,10.11,88.39,58.81
2022-12-31,Telangana,8.2,90.5,48.59
2019-01-31,Bihar,10.49,85.5,49.16
2019-02-28,Bihar,11.26,86.33,42.67
2019-03-31,Bihar,11.06,86.46,48.74
2019-04-30,Bihar,10.48,85.88,55.31
2019-05-31,Bihar,11.21,88.11,55.03
2019-06-30,Bihar,9.76,86.96,59.13
2019-07-31,Bihar,9.88,88.89,58.13
2019-08-31,Bihar,9.96,88.79,45.44
2019-09-30,Bihar,10.55,85.57,41.31
2019-10-31,Bihar,12.42,85.14,40.67
2019-11-30,Bihar,10.96,86.99,46.95
2019-12-31,Bihar,9.72,85.78,40.44
2020-01-31,Bihar,11.1,86.1,58.74
2020-02-29,Bihar,10.94,88.8,48.38
2020-03-31,Bihar,11.74,83.35,45.13
2020-04-30,Bihar,22.51,76.49,51.31
2020-05-31,Bihar,22.18,76.07,42.28
2020-06-30,Bihar,20.26,78.61,45.02
2020-07-31,Bihar,19.27,80.15,57.2
2020-08-31,Bihar,20.41,79.25,54.16
2020-09-30,Bihar,16.95,80.63,43.32
2020-10-31,Bihar,10.03,85.25,57.0
2020-11-30,Bihar,10.41,87.53,53.02
2020-12-31,Bihar,12.86,84.41,41.25
2021-01-31,Bihar,12.25,85.45,41.04
2021-02-28,Bihar,10.91,85.16,44.03
2021-03-31,Bihar,10.15,88.2,55.14
2021-04-30,Bihar,10.34,87.06,44.1
2021-05-31,Bihar,10.49,87.25,59.7
2021-06-30,Bihar,11.37,84.77,40.54
2021-07-31,Bihar,10.79,84.66,50.77
2021-08-31,Bihar,10.12,87.39,42.11
2021-09-30,Bihar,11.89,86.2,55.51
2021-10-31,Bihar,11.36,83.82,44.08
2021-11-30,Bihar,9.02,87.01,51.55
2021-12-31,Bihar,11.06,85.77,55.96
2022-01-31,Bihar,11.62,85.71,43.16
2022-02-28,Bihar,10.66,85.86,55.87
2022-03-31,Bihar,11.69,83.78,45.54
2022-04-30,Bihar,10.43,84.66,42.81
2022-05-31,Bihar,10.31,85.22,53.09
2022-06-30,Bihar,10.34,88.9,48.81
2022-07-31,Bihar,10.12,85.47,56.07
2022-08-31,Bihar,11.06,86.42,59.34
2022-09-30,Bihar,11.12,85.54,52.69
2022-10-31,Bihar,10.81,88.36,57.64
2022-11-30,Bihar,9.67,90.27,51.2
2022-12-31,Bihar,10.6,86.76,54.39
2019-01-31,Odisha,11.21,87.86,57.16
2019-02-28,Odisha,10.66,85.25,50.82
2019-03-31,Odisha,10.01,87.64,56.43
2019-04-30,Odisha,12.15,85.55,47.16
2019-05-31,Odisha,12.31,86.01,43.48
2019-06-30,Odisha,10.99,85.45,56.52
2019-07-31,Odisha,10.77,88.52,46.96
2019-08-31,Odisha,10.65,87.1,54.98
2019-09-30,Odisha,12.23,86.01,56.83
2019-10-31,Odisha,12.53,85.11,59.58
2019-11-30,Odisha,10.11,86.51,46.5
2019-12-31,Odisha,11.34,85.23,41.39
2020-01-31,Odisha,11.3,87.57,56.74
2020-02-29,Odisha,10.75,87.85,52.86
2020-03-31,Odisha,11.14,87.33,44.25
2020-04-30,Odisha,21.18,77.3,53.06
2020-05-31,Odisha,25.93,70.13,53.3
2020-06-30,Odisha,21.32,74.14,53.41
2020-07-31,Odisha,17.12,80.58,57.29
2020-08-31,Odisha,16.22,81.87,59.54
2020-09-30,Odisha,14.92,81.38,58.36
2020-10-31,Odisha,10.92,87.68,57.17
2020-11-30,Odisha,11.53,84.7,56.1
2020-12-31,Odisha,10.75,89.16,59.26
2021-01-31,Odisha,10.08,85.78,45.63
2021-02-28,Odisha,12.1,83.54,42.25
2021-03-31,Odisha,11.38,88.14,44.84
2021-04-30,Odisha,12.85,87.09,49.38
2021-05-31,Odisha,11.81,86.7,46.0
2021-06-30,Odisha,9.4,86.89,40.96
2021-07-31,Odisha,11.96,83.58,43.71
2021-08-31,Odisha,12.72,86.88,44.79
2021-09-30,Odisha,11.08,88.6,56.63
2021-10-31,Odisha,12.17,84.83,42.3
2021-11-30,Odisha,11.99,83.62,51.44
2021-12-31,Odisha,11.51,85.9,48.61
2022-01-31,Odisha,10.36,85.77,52.04
2022-02-28,Odisha,9.18,86.36,48.87
2022-03-31,Odisha,12.62,84.42,54.05
2022-04-30,Odisha,12.33,86.49,50.25
2022-05-31,Odisha,10.77,86.8,53.04
2022-06-30,Odisha,10.17,85.08,52.01
2022-07-31,Odisha,11.06,85.77,41.42
2022-08-31,Odisha,12.71,86.02,47.24
2022-09-30,Odisha,10.4,88.9,45.54
2022-10-31,Odisha,10.98,84.17,46.63
2022-11-30,Odisha,9.61,87.34,45.61
2022-12-31,Odisha,10.93,88.04,50.33
2019-01-31,Punjab,4.13,93.01,50.25
2019-02-28,Punjab,2.47,96.06,58.64
2019-03-31,Punjab,2.27,94.64,42.28
2019-04-30,Punjab,2.86,95.42,50.15
2019-05-31,Punjab,3.03,93.46,59.86
2019-06-30,Punjab,4.13,95.22,45.49
2019-07-31,Punjab,1.67,96.27,58.15
2019-08-31,Punjab,1.19,95.24,52.16
2019-09-30,Punjab,3.97,91.25,56.42
2019-10-31,Punjab,2.51,97.48,52.73
2019-11-30,Punjab,3.19,93.37,42.29
2019-12-31,Punjab,2.43,95.65,49.12
2020-01-31,Punjab,2.16,95.74,55.02
2020-02-29,Punjab,2.74,96.9,41.6
2020-03-31,Punjab,3.56,93.1,53.57
2020-04-30,Punjab,13.41,83.62,40.2
2020-05-31,Punjab,15.71,79.92,54.48
2020-06-30,Punjab,12.65,82.84,41.33
2020-07-31,Punjab,7.49,90.08,51.54
2020-08-31,Punjab,6.58,92.81,51.17
2020-09-30,Punjab,9.28,86.49,53.85
2020-10-31,Punjab,4.34,93.51,53.46
2020-11-30,Punjab,2.11,93.95,48.93
2020-12-31,Punjab,1.95,94.05,56.45
2021-01-31,Punjab,1.23,95.86,47.42
2021-02-28,Punjab,2.36,94.64,54.11
2021-03-31,Punjab,2.06,97.1,48.61
2021-04-30,Punjab,4.53,94.76,57.8
2021-05-31,Punjab,2.09,97.79,52.92
2021-06-30,Punjab,2.62,94.2,46.81
2021-07-31,Punjab,2.9,95.54,53.54
2021-08-31,Punjab,2.34,94.64,47.29
2021-09-30,Punjab,4.94,94.36,49.71
2021-10-31,Punjab,2.59,97.27,50.11
2021-11-30,Punjab,2.95,96.86,40.62
2021-12-31,Punjab,3.46,94.6,43.2
2022-01-31,Punjab,1.25,94.25,42.32
2022-02-28,Punjab,2.69,92.53,46.28
2022-03-31,Punjab,3.29,92.58,59.68
2022-04-30,Punjab,3.95,94.6,59.22
2022-05-31,Punjab,1.51,96.79,50.83
2022-06-30,Punjab,1.56,97.67,51.07
2022-07-31,Punjab,4.62,91.21,48.81
2022-08-31,Punjab,3.3,95.19,45.19
2022-09-30,Punjab,1.79,93.38,51.15
2022-10-31,Punjab,2.18,96.08,51.61
2022-11-30,Punjab,2.88,93.99,49.78
2022-12-31,Punjab,1.94,96.05,59.88
